Month-Year,Sales
1/1/2003,141
2/1/2003,157
3/1/2003,185
4/1/2003,199
5/1/2003,203
6/1/2003,189
7/1/2003,207
8/1/2003,207
9/1/2003,171
10/1/2003,150
11/1/2003,138
12/1/2003,165
1/1/2004,145
2/1/2004,168
3/1/2004,197
4/1/2004,208
5/1/2004,210
6/1/2004,209
7/1/2004,238
8/1/2004,238
9/1/2004,199
10/1/2004,168
11/1/2004,152
12/1/2004,196
1/1/2005,183
2/1/2005,200
3/1/2005,249
4/1/2005,251
5/1/2005,289
6/1/2005,249
7/1/2005,279
8/1/2005,279
9/1/2005,232
10/1/2005,204
11/1/2005,194
12/1/2005,232
1/1/2006,215
2/1/2006,239
3/1/2006,270
4/1/2006,279
5/1/2006,307
6/1/2006,305
7/1/2006,322
8/1/2006,339
9/1/2006,263
10/1/2006,241
11/1/2006,229
12/1/2006,272
1/1/2007,247
2/1/2007,261
3/1/2007,330
4/1/2007,362
5/1/2007,385
6/1/2007,340
7/1/2007,370
8/1/2007,381
9/1/2007,299
10/1/2007,266
11/1/2007,239
12/1/2007,281
1/1/2008,257
2/1/2008,250
3/1/2008,329
4/1/2008,350
5/1/2008,393
6/1/2008,370
7/1/2008,423
8/1/2008,410
9/1/2008,326
10/1/2008,289
11/1/2008,270
12/1/2008,321
1/1/2009,305
2/1/2009,310
3/1/2009,374
4/1/2009,414
5/1/2009,454
6/1/2009,441
7/1/2009,510
8/1/2009,486
9/1/2009,393
10/1/2009,345
11/1/2009,315
12/1/2009,389
1/1/2010,358
2/1/2010,368
3/1/2010,444
4/1/2010,482
5/1/2010,534
6/1/2010,524
7/1/2010,578
8/1/2010,567
9/1/2010,447
10/1/2010,386
11/1/2010,360
12/1/2010,428
1/1/2011,397
2/1/2011,400
3/1/2011,498
4/1/2011,536
5/1/2011,596
6/1/2011,591
7/1/2011,651
8/1/2011,654
9/1/2011,509
10/1/2011,437
11/1/2011,406
12/1/2011,470
1/1/2012,428
2/1/2012,423
3/1/2012,507
4/1/2012,536
5/1/2012,610
6/1/2012,609
7/1/2012,687
8/1/2012,707
9/1/2012,509
10/1/2012,452
11/1/2012,412
12/1/2012,472
1/1/2013,454
2/1/2013,455
3/1/2013,568
4/1/2013,610
5/1/2013,706
6/1/2013,661
7/1/2013,767
8/1/2013,783
9/1/2013,583
10/1/2013,513
11/1/2013,481
12/1/2013,567
1/1/2014,525
2/1/2014,520
3/1/2014,587
4/1/2014,710
5/1/2014,793
6/1/2014,749
7/1/2014,871
8/1/2014,848
9/1/2014,640
10/1/2014,581
11/1/2014,519
12/1/2014,605
