"","rules","support","confidence","lift","count"
"1","{I4} => {I2}",0.222222222222222,1,1.28571428571429,2
"2","{I5} => {I1}",0.222222222222222,1,1.5,2
"3","{I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"4","{I3} => {I1}",0.444444444444444,0.666666666666667,1,4
"5","{I1} => {I3}",0.444444444444444,0.666666666666667,1,4
"6","{I3} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"7","{I1} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"8","{I1,I4} => {I2}",0.111111111111111,1,1.28571428571429,1
"9","{I3,I5} => {I1}",0.111111111111111,1,1.5,1
"10","{I3,I5} => {I2}",0.111111111111111,1,1.28571428571429,1
"11","{I1,I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"12","{I2,I5} => {I1}",0.222222222222222,1,1.5,2
"13","{I1,I3,I5} => {I2}",0.111111111111111,1,1.28571428571429,1
"14","{I2,I3,I5} => {I1}",0.111111111111111,1,1.5,1
