from,to,weight,type
s01,s02,10,hyperlink
s01,s02,12,hyperlink
s01,s03,22,hyperlink
s01,s04,21,hyperlink
s04,s11,22,mention
s05,s15,21,mention
s06,s17,21,mention
s08,s09,11,mention
s08,s09,12,mention
s03,s04,22,hyperlink
s04,s03,23,hyperlink
s01,s15,20,mention
s15,s01,11,hyperlink
s15,s01,11,hyperlink
s16,s17,21,mention
s16,s06,23,hyperlink
s06,s16,21,hyperlink
s09,s10,21,mention
s08,s07,21,mention
s07,s08,22,mention
s07,s10,21,hyperlink
s05,s02,21,hyperlink
s02,s03,21,hyperlink
s02,s01,23,hyperlink
s03,s01,21,hyperlink
s12,s13,22,hyperlink
s12,s14,22,mention
s14,s13,21,mention
s13,s12,21,hyperlink
s05,s09,2,hyperlink
s02,s10,5,hyperlink
s03,s12,1,hyperlink
s04,s06,1,mention
s10,s03,2,hyperlink
s03,s10,2,mention
s04,s12,3,hyperlink
s13,s17,1,mention
s06,s06,1,hyperlink
s14,s11,1,mention
s03,s11,1,hyperlink
s12,s06,2,mention
s04,s17,2,mention
s17,s04,4,hyperlink
s08,s03,2,hyperlink
s03,s08,4,hyperlink
s07,s14,4,mention
s15,s06,4,hyperlink
s15,s04,1,hyperlink
s05,s01,1,mention
s02,s09,1,hyperlink
s03,s05,1,hyperlink
s07,s03,1,mention
