,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20
s01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s03,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
s04,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
s05,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
s06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
s07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
s08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
s09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
