id,media,media.type,media.name,audience.size
s01,NYT,1,Newspaper,20
s02,WaPo,1,Newspaper,25
s03,WSJ,1,Newspaper,30
s04,USAT,1,Newspaper,32
s05,LATimes,1,Newspaper,20
s06,CNN,2,TV,56
s07,MSNBC,2,TV,34
s08,FOX ,2,TV,60
s09,ABC,2,TV,23
s10,BBC,2,TV,34
U01,John,NA,NA,NA
U02,Mary,NA,NA,NA
U03,Paul,NA,NA,NA
U04,Ted,NA,NA,NA
U05,Tom,NA,NA,NA
U06,Kate,NA,NA,NA
U07,Ed,NA,NA,NA
U08,Anna,NA,NA,NA
U09,Dan,NA,NA,NA
U10,Nancy,NA,NA,NA
U11,Sandra,NA,NA,NA
U12,Ronda,NA,NA,NA
U13,Sheila,NA,NA,NA
U14,Jim,NA,NA,NA
U15,Jill,NA,NA,NA
U16,Jo,NA,NA,NA
U17,Brian,NA,NA,NA
U18,Jason,NA,NA,NA
U19,Lisa,NA,NA,NA
U20,Dave,NA,NA,NA
